Iteration	World	Goal reward list	Policy	Sensorial changes	C-nodes
1	GRIPPER_AND_LOW_FRICTION	{'alignment_goal': '0.0', 'novelty_goal': '0.0'}	alignment	False	0
2	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'red_cylinder_in_hand_drive': '0.0', 'red_cylinder_in_blue_basket_drive': '0.0'}	place_object_right	False	0
3	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'red_cylinder_in_hand_drive': '0.0', 'red_cylinder_in_blue_basket_drive': '0.0'}	grasp_right	False	0
4	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'red_cylinder_in_hand_drive': '1.0', 'red_cylinder_in_blue_basket_drive': '1.0'}	press_button	True	1
5	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'red_cylinder_in_blue_basket_drive': '1.0'}	press_button	False	2
6	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'goal_1': '0.0'}	press_button	False	2
7	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'goal_1': '0.0'}	place_object_right	False	2
8	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '1.0', 'goal_1': '0.0'}	grasp_right	True	3
9	GRIPPER_AND_LOW_FRICTION	{'external_effects_goal': '0.0', 'novelty_goal': '0.0', 'goal_0': '0.0', 'goal_1': '0.0'}	press_button	True	3
10	GRIPPER_AND_LOW_FRICTION	{'external_effects_goal': '0.0', 'novelty_goal': '0.0', 'goal_0': '0.0', 'goal_1': '0.0'}	external_effect_policy	True	3
11	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'goal_1': '0.0', 'effect_robot_hand_state': '0.0'}	grasp_right	False	3
12	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '1.0', 'goal_1': '1.0', 'effect_robot_hand_state': '0.0'}	press_button	True	3
13	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '1.0', 'goal_1': '1.0', 'effect_robot_hand_state': '1.0'}	grasp_right	True	3
14	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'goal_1': '0.0', 'effect_robot_hand_state': '0.0'}	grasp_right	False	3
15	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'goal_1': '1.0', 'effect_robot_hand_state': '0.0'}	place_object_right	True	4
16	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '1.0', 'goal_1': '1.0', 'effect_robot_hand_state': '0.0'}	press_button	True	4
17	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '1.0', 'goal_1': '0.0', 'effect_robot_hand_state': '1.0'}	grasp_right	True	4
