Iteration	Ident	Success
2	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
3	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	False
4	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	False
6	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
7	external_effects_pnode	False
8	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
9	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
10	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	False
10	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	True
11	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
12	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
13	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
14	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
15	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
16	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
17	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
18	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
19	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
20	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	False
21	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
22	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
23	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
24	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
25	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	False
26	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
27	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	False
28	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
29	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	False
29	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
30	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
31	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
32	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
33	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
34	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
35	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
36	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
37	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
38	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
39	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
40	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
41	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
42	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
43	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
44	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
45	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
46	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
