Iteration	Ident	Success
2	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
3	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	False
3	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	True
5	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
6	external_effects_pnode	False
7	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
8	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
9	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	False
9	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
10	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
11	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
12	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
13	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
14	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
15	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
17	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
19	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
20	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
21	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	False
21	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
22	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	False
22	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
23	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
24	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
25	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
25	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
26	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
27	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
28	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
30	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
31	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
32	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
33	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
34	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
35	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
36	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
37	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
38	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
39	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
40	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	False
41	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
42	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
43	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
44	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
45	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
46	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
