Iteration	World	Goal reward list	Policy	Sensorial changes	C-nodes
1	GRIPPER_AND_LOW_FRICTION	{'alignment_goal': '0.0', 'novelty_goal': '0.0'}	alignment	False	0
2	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'object_in_hand_red_cylinder_drive': '0.0', 'red_cylinder_in_blue_basket_drive': '0.0'}	place_object_right	False	0
3	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'object_in_hand_red_cylinder_drive': '1.0', 'red_cylinder_in_blue_basket_drive': '0.0'}	press_button	True	1
4	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'red_cylinder_in_blue_basket_drive': '0.0'}	press_button	False	1
5	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '1.0', 'red_cylinder_in_blue_basket_drive': '0.0'}	grasp_right	True	2
6	GRIPPER_AND_LOW_FRICTION	{'external_effects_goal': '0.0', 'novelty_goal': '0.0', 'goal_0': '0.0', 'red_cylinder_in_blue_basket_drive': '0.0'}	external_effect_policy	False	2
7	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'effect_robot_hand_state': '0.0', 'red_cylinder_in_blue_basket_drive': '1.0'}	place_object_right	True	3
8	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '1.0', 'effect_robot_hand_state': '1.0', 'goal_1': '0.0'}	grasp_right	True	3
9	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'effect_robot_hand_state': '0.0', 'goal_1': '1.0'}	place_object_right	True	3
10	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'effect_robot_hand_state': '0.0', 'goal_1': '0.0'}	grasp_right	False	3
11	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '1.0', 'effect_robot_hand_state': '0.0', 'goal_1': '1.0'}	press_button	True	3
12	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '1.0', 'effect_robot_hand_state': '1.0', 'goal_1': '0.0'}	grasp_right	True	3
13	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'effect_robot_hand_state': '0.0', 'goal_1': '1.0'}	place_object_right	True	3
14	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '1.0', 'effect_robot_hand_state': '0.0', 'goal_1': '1.0'}	press_button	True	3
15	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'effect_robot_hand_state': '0.0', 'goal_1': '0.0'}	press_button	False	3
16	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '1.0', 'effect_robot_hand_state': '1.0', 'goal_1': '0.0'}	grasp_right	True	3
17	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'effect_robot_hand_state': '0.0', 'goal_1': '1.0'}	place_object_right	True	3
18	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '1.0', 'effect_robot_hand_state': '1.0', 'goal_1': '0.0'}	grasp_right	True	3
19	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'effect_robot_hand_state': '0.0', 'goal_1': '1.0'}	place_object_right	True	3
20	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'effect_robot_hand_state': '0.0', 'goal_1': '0.0'}	grasp_right	False	3
21	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'effect_robot_hand_state': '0.0', 'goal_1': '0.0'}	place_object_right	False	3
22	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'effect_robot_hand_state': '0.0', 'goal_1': '1.0'}	press_button	True	4
23	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '1.0', 'effect_robot_hand_state': '1.0', 'goal_1': '0.0'}	grasp_right	True	4
24	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'effect_robot_hand_state': '0.0', 'goal_1': '0.0'}	press_button	False	4
25	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'effect_robot_hand_state': '0.0', 'goal_1': '1.0'}	place_object_right	True	4
26	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '1.0', 'effect_robot_hand_state': '0.0', 'goal_1': '1.0'}	press_button	True	4
27	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '1.0', 'effect_robot_hand_state': '1.0', 'goal_1': '0.0'}	grasp_right	True	4
28	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'effect_robot_hand_state': '0.0', 'goal_1': '1.0'}	place_object_right	True	4
29	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'effect_robot_hand_state': '0.0', 'goal_1': '0.0'}	grasp_right	False	4
30	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'effect_robot_hand_state': '0.0', 'goal_1': '0.0'}	place_object_right	False	4
31	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '1.0', 'effect_robot_hand_state': '0.0', 'goal_1': '0.0'}	press_button	True	4
32	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '1.0', 'effect_robot_hand_state': '1.0', 'goal_1': '0.0'}	grasp_right	True	4
33	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'effect_robot_hand_state': '0.0', 'goal_1': '1.0'}	place_object_right	True	4
34	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'effect_robot_hand_state': '0.0', 'goal_1': '0.0'}	press_button	False	4
35	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '1.0', 'effect_robot_hand_state': '1.0', 'goal_1': '0.0'}	grasp_right	True	4
36	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'effect_robot_hand_state': '0.0', 'goal_1': '1.0'}	place_object_right	True	4
37	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '1.0', 'effect_robot_hand_state': '1.0', 'goal_1': '0.0'}	grasp_right	True	4
38	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'effect_robot_hand_state': '0.0', 'goal_1': '1.0'}	place_object_right	True	4
39	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '1.0', 'effect_robot_hand_state': '0.0', 'goal_1': '1.0'}	press_button	True	4
40	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '1.0', 'effect_robot_hand_state': '1.0', 'goal_1': '0.0'}	grasp_right	True	4
41	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'effect_robot_hand_state': '0.0', 'goal_1': '1.0'}	place_object_right	True	4
42	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'effect_robot_hand_state': '0.0', 'goal_1': '0.0'}	grasp_right	False	4
43	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'effect_robot_hand_state': '0.0', 'goal_1': '0.0'}	place_object_right	False	4
44	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'effect_robot_hand_state': '0.0', 'goal_1': '0.0'}	grasp_right	False	4
45	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'effect_robot_hand_state': '0.0', 'goal_1': '1.0'}	press_button	True	4
46	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '1.0', 'effect_robot_hand_state': '1.0', 'goal_1': '0.0'}	grasp_right	True	4
47	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'effect_robot_hand_state': '0.0', 'goal_1': '1.0'}	place_object_right	True	4
48	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '1.0', 'effect_robot_hand_state': '0.0', 'goal_1': '1.0'}	press_button	True	4
49	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '1.0', 'effect_robot_hand_state': '1.0', 'goal_1': '0.0'}	grasp_right	True	4
50	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'effect_robot_hand_state': '0.0', 'goal_1': '1.0'}	place_object_right	True	4
51	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '1.0', 'effect_robot_hand_state': '0.0', 'goal_1': '1.0'}	press_button	True	4
52	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '1.0', 'effect_robot_hand_state': '1.0', 'goal_1': '0.0'}	grasp_right	True	4
53	GRIPPER_AND_LOW_FRICTION	{'novelty_goal': '0.0', 'goal_0': '0.0', 'effect_robot_hand_state': '0.0', 'goal_1': '1.0'}	place_object_right	True	4
